id,gid,name,precision,vintage
10635,775440923,Nyoron! Churuya-san,ONA,2009
10634,3150088745,Higepiyo,TV,2009-04-03
10625,3196724137,Kimi ni Todoke - From Me to You,TV,2009-10-06 to 2010-03-30
10623,1991445561,Dragon Ball: Yo! The Return of Son Goku and Friends!!,ONA,2008-09-21
10620,1284260597,Eden of the East: The King of Eden,movie,2009-11-28
10619,2897835864,Haruka Nogizaka's Secret: Purezza,TV,2009-10-05 to 2009-12-21
10617,729382141,Gokujō!! Mecha Mote Iinchō,TV,2009-04-04 to 2010-03-27
10605,2669600362,Lupin III vs. Detective Conan,special,2009-03-27
10604,1735879400,Kaasan - Mom's Life,TV,2009-04-01
10592,1576528177,Corda D'Oro ~secondo passo~,special,2009-03-26
10590,2848877276,Elementhunters,TV,2009-07-04
10587,3033780008,Student Council's Discretion,TV,2009-10-02 to 2009-12-18
10585,2360176535,Ani-Kuri 15,special,2007-05-07
10584,1474545798,Tsubasa: Spring Thunder,OAV,2009-03-15 to 2009-05-15
10583,1797927377,xxxHOLiC: Shunmuki,OAV,2009-02-17 to 2009-06-23
10580,2677470876,Cross Game,TV,2009-04-05 to 2010-03-28
10576,1059713755,Gurren Lagann the Movie – The Lights in the Sky Are Stars,movie,2009-04-25
10575,1909226023,Examurai Sengoku,TV,2009-01-10
10574,899694335,Akiba-chan,TV,2008-07-24
10568,1859577455,Ai no Kusabi,OAV 2/2012,2012-01-18
10567,2986621991,Yurumates,OAV,2009-04-24
10565,2873668375,Seito Kaichō ni Chūkoku,OAV,2009-11-27
10563,1926347479,Akane Iro ni Somaru Saka Hardcore,OAV,2009-06-26
10562,2938583217,K-ON!,TV,2009-04-02 to 2009-06-25
10561,904374588,Sex Pistols,OAV,2010-03-26
10557,901567753,Tayutama - Kiss on My Deity,TV,2009-04-05 to 2009-06-21
10556,2677954521,To Love-Ru,OAV,2009-04-03
10552,3002446157,Pokémon: Arceus and the Jewel of Life,movie 12,2009-07-18
10551,3671951595,Musashi: The Dream of the Last Samurai,movie,2009-06-13
10550,2326918641,Before Green Gables,TV,2009-04-05 to 2009-12-27
10548,2755602314,Kupū~!! Mamegoma!,TV,2009-01-10
10547,2167643079,Saint Seiya: The Lost Canvas,OAV,2009-06-24
10546,2006116814,Hayate the Combat Butler!!,OAV,2009-03-06
10545,2578496367,Basquash!,TV,2009-04-02
10544,717043249,Summer Wars,movie,2009-07-29
10542,1897798469,Kobato.,TV,2009-10-06 to 2010-03-22
10541,1639299923,Phantom ~Requiem for the Phantom~,TV,2009-04-02
10540,2714212641,Crayon Shin-chan: Otakebe! Kasukabe Yasei Ōkoku,movie 17,2009-04-18
10527,1228623781,Saki,TV,2009-04-05 to 2009-09-27
10522,2104264068,Detective Conan: The Raven Chaser,movie 13,2009-04-07
10519,1816467430,Denpa teki na Kanojo,OAV,2009-05-01
10510,1321498868,Hanasakeru Seishōnen,TV,2009-04-05 to 2010-02-14
10499,563184537,Fresh Pretty Cure,TV,2009-02-01 to 2010-01-31
10474,2184508324,Eden of the East,TV,2009-04-09 to 2009-06-18
10468,3065174771,07-Ghost,TV,2009-04-06 to 2009-09-21
10464,1804400596,Natsu no Arashi!,TV,2009-04-05 to 2009-06-28
10463,946416814,Juden Chan,TV,2009-06-25 to 2009-09-10
10449,2127137223,Ristorante Paradiso,TV,2009-03-29
10436,2318209253,Pandora Hearts,TV,2009-04-02 to 2009-09-24
10417,3023513268,Corpse Princess: Kuro,TV,2009-01-01
10416,1692191537,Valkyria Chronicles,TV,2009-04-04 to 2009-09-26
10415,3276332119,Polyphonica Crimson S,TV,2009-04-04
10404,909569490,Sora o Miageru Shōjo no Hitomi ni Utsuru Sekai,TV,2009-01-13
10395,2406617041,3-Mei-sama: Anime wa Anime de Arissho!,OAV,2009-02-04
10393,1814166333,Tenchi Muyo! War on Geminar,OAV,2009-03-20
10388,1391545313,Minami-ke: Okaeri,TV,2009-01-04 to 2009-03-29
10387,1287852046,Hajime no Ippo: New Challenger,TV,2009-01-06
10380,1955506252,Asura Cryin',TV,2009-04-02 to 2009-06-25
10356,4160005897,Modern Magic Made Simple,TV,2009-07-04
10352,299916802,15 Bishōjo Hyōryūki OVA,OAV,2009-08-03
10351,1730747677,Viper's Creed,TV,2009-01-06
10312,1087505935,Booby Life,OAV,2008-10-10
10306,459385147,Kodomo no Jikan Nigakki,OAV,2009-01-21
10305,1718514592,Slayers Evolution-R,TV,2009-01-12 to 2009-04-06
10291,148495933,Beast Player Erin,TV,2009-01-10 to 2009-12-26
10286,1996794827,Hatsukoi Limited,TV,2009-04-11
10284,2809635087,"Pyu to Fuku! Jaguar ~Ima, Fuki ni Yukimasu~",movie,2009-01-01
10274,2142912929,Tower of Druaga: the Sword of Uruk,TV,2009-01-08
10272,2679726660,Girl Who Leapt Through Space,TV,2009-01-05
10271,1186906143,Sengoku Basara - Samurai Kings,TV,2009-04-01 to 2009-06-17
10270,2485554619,CANAAN,TV,2009-07-04 to 2009-09-26
10269,2966823749,Spice and Wolf II,TV,2009-07-08 to 2009-09-23
10268,1197850034,Oblivion Island: Haruka and the Magic Mirror,movie,2009-08-22
10262,2913093732,Kurokami The Animation,TV,2008-12-27
10261,2946178536,Strawberry Marshmallow Encore,OAV,2009-01-23
10255,2277747642,Armored Trooper Votoms: Pailsen Files,movie,2009-01-17
10254,347792242,Natsume's Book of Friends,TV 2,2009-01-05 to 2009-03-30
10253,1912371640,Koihime Musō,OAV,2009-04-01
10252,1858728086,Stitch!,TV,2008-10-08
10248,2196585665,Hard Boiled the Movie,movie,2008-10-10
10247,2430652696,Shugo Chara!! Doki,TV,2008-10-04 to 2009-09-26
10246,1650074040,Shangri-La,TV,2009-04-05 to 2009-09-13
10245,3012507907,Melancholy of Haruhi-chan Suzumiya,ONA,2009-02-13
10243,2721975233,Chrome Shelled Regios,TV,2009-01-10
10242,2655968270,Live On Cardliver Kakeru,TV,2008-10-05 to 2009-09-27
10236,1439529035,Inazuma Eleven,TV,2008-10-05 to 2011-04-27
10234,2375247674,Letter Bee: Light and Blue Night Fantasy,special,2008
10232,1284990066,Slap Up Party: Arad Senki,TV,2009-04-03
10231,2429016582,First Squad - The Moment Of Truth,OAV,2009-05-13
10230,3558434334,Negibōzu no Asatarō,TV,2008-10-12
10224,825309836,Goku Sayonara Zetsubou-sensei,OAV,2008-10-17
10223,1964749857,Genji Monogatari Sennenki,TV,2009-01-15
10222,1108548198,Initial D: Extra Stage 2: Tabidachi no Green,OAV,2008-10-03
10218,1262476095,Shinkai no Kantai - Submarine 707,OAV,1997-01-10
10216,2208895077,Fullmetal Alchemist: Brotherhood,TV,2009-04-05 to 2010-07-04
10213,1014163302,Gakkō no Yūrei,OAV,1995-10-21
10209,1485420562,Akikan!,TV,2008-12-22
10207,3338350831,Birdy the Mighty Decode:02,TV,2009-01-09 to 2009-03-27
10206,2780471669,Taisho Baseball Girls,TV,2009-07-02 to 2009-09-24
10205,1206588250,Tonari no 801-chan R,OAV,2009-09-10
10200,278349549,Maria Holic,TV,2008-12-30
10199,711272416,One Outs,TV,2008-10-07 to 2009-03-31
10197,3888363471,Kurozuka,TV,2008-10-07
10196,2048070633,Bakemonogatari,TV,2009-07-03
10195,1668868540,Guin Saga,TV,2009-04-05 to 2009-09-27
10194,2677546227,Kiss×sis,OAV,2008-12-22
10193,2806007010,Tentai Senshi Sunred,TV,2008-10-03
10187,1695401483,Samurai Harem,TV,2009-01-08 to 2009-03-26
10185,3640067052,Mach Girl,special,2008-09-13
10184,1059385371,Magical Girl Lyrical Nanoha The MOVIE 1st,movie,2010-01-23
10183,3264351460,Junjō Romantica 2,TV,2008-10-11 to 2008-12-27
10182,262968012,Chaos;HEAd,TV,2008-10-09 to 2008-12-25
10181,49848568,Afro Samurai: Resurrection,movie,2009-01
10180,2822288638,Takane no Jitensha,special,2008-07-05
10179,3609310819,Hetalia - Axis Powers,TV,2009-01-24
10174,2189810750,Batman: Gotham Knight,movie,2008-07-02
10173,1097727070,Doraemon the Movie: The New Record of Nobita's Spaceblazer,movie 2-04,2009-02-15
10172,3670082871,Detroit Metal City,OAV,2008-08-08
10168,1855885134,Umineko - When They Cry,TV,2009-07-01 to 2009-12-23
10167,3003332092,Kyo no Gononi,TV,2008-10-05 to 2008-12-28
10166,1417852203,Black Lagoon: Roberta's Blood Trail,OAV,2010-06-27
10165,1568095998,Soreike! Anpanman: Hiya Hiya Hiyariko to Bafu Bafu Baikinman,movie,2008-07-12
